date,ticker,Flow,flow_btc,flow_usd
2024-01-11 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-11 00:00:00,BITB (Bitwise),,,240445217.0
2024-01-11 00:00:00,BRRR (Valkyrie),,529234.0,
2024-01-11 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-11 00:00:00,BTCO (Invesco Galaxy),,,5100000.0
2024-01-11 00:00:00,BTCW (WisdomTree),,,2478720.0
2024-01-11 00:00:00,DEFI (Hashdex),,,17727712.0
2024-01-11 00:00:00,EZBC (Franklin Templeton),,,52650000.0
2024-01-11 00:00:00,FBTC (Fidelity),,,20000000.0
2024-01-11 00:00:00,GBTC (Grayscale),,,28618142692.0
2024-01-11 00:00:00,HODL (VanEck),,,76570000.0
2024-01-11 00:00:00,IBIT (BlackRock),,,10635116.0
2024-01-11 00:00:00,TOTAL,,,29054578691.0
2024-01-12 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-12 00:00:00,BITB (Bitwise),,,242940653.0
2024-01-12 00:00:00,BRRR (Valkyrie),,,28107507.0
2024-01-12 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-12 00:00:00,BTCO (Invesco Galaxy),,,49500000.0
2024-01-12 00:00:00,BTCW (WisdomTree),,,3254790.0
2024-01-12 00:00:00,DEFI (Hashdex),,,16614592.0
2024-01-12 00:00:00,EZBC (Franklin Templeton),,,49510500.0
2024-01-12 00:00:00,FBTC (Fidelity),,,19150000.0
2024-01-12 00:00:00,GBTC (Grayscale),,,26939077748.0
2024-01-12 00:00:00,HODL (VanEck),,,81740000.0
2024-01-12 00:00:00,IBIT (BlackRock),,,114712331.0
2024-01-12 00:00:00,TOTAL,,,27554908121.0
2024-01-16 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-16 00:00:00,BITB (Bitwise),,,290016172.0
2024-01-16 00:00:00,BRRR (Valkyrie),,,28107507.0
2024-01-16 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-16 00:00:00,BTCO (Invesco Galaxy),,,49500000.0
2024-01-16 00:00:00,BTCW (WisdomTree),,,3213210.0
2024-01-16 00:00:00,DEFI (Hashdex),,,16997475.0
2024-01-16 00:00:00,EZBC (Franklin Templeton),,,48867000.0
2024-01-16 00:00:00,FBTC (Fidelity),,,18889744.0
2024-01-16 00:00:00,GBTC (Grayscale),,,26156108922.0
2024-01-16 00:00:00,HODL (VanEck),,,80685000.0
2024-01-16 00:00:00,IBIT (BlackRock),,,494341367.0
2024-01-16 00:00:00,TOTAL,,,27197026397.0
2024-01-17 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-17 00:00:00,BITB (Bitwise),,,354524321.0
2024-01-17 00:00:00,BRRR (Valkyrie),,,47655772.0
2024-01-17 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-17 00:00:00,BTCO (Invesco Galaxy),,,81159600.0
2024-01-17 00:00:00,BTCW (WisdomTree),,,3172750.0
2024-01-17 00:00:00,DEFI (Hashdex),,,16817724.0
2024-01-17 00:00:00,EZBC (Franklin Templeton),,,48262500.0
2024-01-17 00:00:00,FBTC (Fidelity),,,18649148.0
2024-01-17 00:00:00,GBTC (Grayscale),,,25251507847.0
2024-01-17 00:00:00,HODL (VanEck),,,80689141.0
2024-01-17 00:00:00,IBIT (BlackRock),,,698142357.0
2024-01-17 00:00:00,TOTAL,,,26610881160.0
2024-01-18 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-18 00:00:00,BITB (Bitwise),,,360212110.0
2024-01-18 00:00:00,BRRR (Valkyrie),,,62176680.2
2024-01-18 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-18 00:00:00,BTCO (Invesco Galaxy),,,137727200.0
2024-01-18 00:00:00,BTCW (WisdomTree),,,3042340.0
2024-01-18 00:00:00,DEFI (Hashdex),,,16061793.0
2024-01-18 00:00:00,EZBC (Franklin Templeton),,,48260000.0
2024-01-18 00:00:00,FBTC (Fidelity),,,495373850.25
2024-01-18 00:00:00,GBTC (Grayscale),,,23707965989.8
2024-01-18 00:00:00,HODL (VanEck),,,86909761.0
2024-01-18 00:00:00,IBIT (BlackRock),,,1026138434.0
2024-01-18 00:00:00,TOTAL,,,25954168158.25
2024-01-19 00:00:00,ARKB (Ark 21Shares),,,10300000.0
2024-01-19 00:00:00,BITB (Bitwise),,,425357548.0
2024-01-19 00:00:00,BRRR (Valkyrie),,,60812017.0
2024-01-19 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-19 00:00:00,BTCO (Invesco Galaxy),,,257548000.0
2024-01-19 00:00:00,BTCW (WisdomTree),,,4673445.0
2024-01-19 00:00:00,DEFI (Hashdex),,,16342359.0
2024-01-19 00:00:00,EZBC (Franklin Templeton),,,48600000.0
2024-01-19 00:00:00,FBTC (Fidelity),,,858268710.0
2024-01-19 00:00:00,GBTC (Grayscale),,,23536551516.0
2024-01-19 00:00:00,HODL (VanEck),,,92452273.0
2024-01-19 00:00:00,IBIT (BlackRock),,,1026138434.0
2024-01-19 00:00:00,TOTAL,,,26337044302.0
2024-01-22 00:00:00,ARKB (Ark 21Shares),,,428443366.0
2024-01-22 00:00:00,BITB (Bitwise),,,448822892.0
2024-01-22 00:00:00,BRRR (Valkyrie),,,78648993.0
2024-01-22 00:00:00,BTC (Grayscale Mini),0.0,,
2024-01-22 00:00:00,BTCO (Invesco Galaxy),,,254086200.0
2024-01-22 00:00:00,BTCW (WisdomTree),,,7243190.0
2024-01-22 00:00:00,DEFI (Hashdex),,,15786045.0
